Aux out [V]	Aux in [V]	PDH out [a.u.]
-2.9677E-1	5.2884E-1	6.5500E+2
-2.9642E-1	5.2714E-1	1.5800E+2
-2.9606E-1	5.2423E-1	6.8400E+2
-2.9571E-1	5.2495E-1	9.9000E+1
-2.9536E-1	5.2277E-1	1.7800E+2
-2.9512E-1	5.2107E-1	4.6300E+2
-2.9477E-1	5.2082E-1	1.0000E+0
-2.9442E-1	5.1839E-1	1.0900E+2
-2.9406E-1	5.1888E-1	6.5400E+2
-2.9371E-1	5.2010E-1	5.8900E+2
-2.9336E-1	5.1669E-1	9.5100E+2
-2.9312E-1	5.1548E-1	5.4800E+2
-2.9277E-1	5.1305E-1	8.9200E+2
-2.9242E-1	5.1281E-1	6.3600E+2
-2.9206E-1	5.1038E-1	1.1480E+3
-2.9171E-1	5.0722E-1	5.9300E+2
-2.9147E-1	5.0601E-1	3.0600E+2
-2.9112E-1	5.0358E-1	2.1200E+2
-2.9077E-1	5.0260E-1	4.6500E+2
-2.9042E-1	5.0017E-1	3.7400E+2
-2.9006E-1	5.0017E-1	-2.9000E+1
-2.8983E-1	5.0042E-1	4.5700E+2
-2.8947E-1	4.9799E-1	1.3400E+2
-2.8912E-1	4.9677E-1	4.0400E+2
-2.8877E-1	4.9629E-1	2.5900E+2
-2.8842E-1	4.9629E-1	1.2900E+2
-2.8818E-1	4.9580E-1	-2.5000E+2
-2.8783E-1	4.9580E-1	-4.5200E+2
-2.8747E-1	4.9677E-1	-1.2960E+3
-2.8712E-1	4.9823E-1	-1.2980E+3
-2.8677E-1	4.9872E-1	-1.0490E+3
-2.8642E-1	5.0017E-1	-5.2000E+1
-2.8618E-1	4.9872E-1	2.0500E+2
-2.8583E-1	4.9702E-1	7.9200E+2
-2.8547E-1	4.9362E-1	1.4660E+3
-2.8512E-1	4.9216E-1	1.0700E+3
-2.8477E-1	4.8803E-1	1.5380E+3
-2.8453E-1	4.8657E-1	1.1290E+3
-2.8418E-1	4.8317E-1	8.2300E+2
-2.8383E-1	4.8001E-1	1.5000E+2
-2.8347E-1	4.7710E-1	3.3400E+2
-2.8312E-1	4.7637E-1	-2.1000E+2
-2.8289E-1	4.7710E-1	8.2800E+2
-2.8253E-1	4.7515E-1	-2.2700E+2
-2.8218E-1	4.7540E-1	-1.1100E+2
-2.8183E-1	4.7442E-1	-1.6600E+2
-2.8147E-1	4.7588E-1	-3.6100E+2
-2.8112E-1	4.7442E-1	-4.8100E+2
-2.8089E-1	4.7564E-1	-7.8000E+1
-2.8053E-1	4.7734E-1	-7.8500E+2
-2.8018E-1	4.7880E-1	-9.4300E+2
-2.7983E-1	4.8025E-1	-8.6200E+2
-2.7947E-1	4.7977E-1	-3.1000E+2
-2.7924E-1	4.7928E-1	1.1400E+2
-2.7889E-1	4.7855E-1	6.7600E+2
-2.7853E-1	4.7540E-1	4.3700E+2
-2.7818E-1	4.7297E-1	4.5200E+2
-2.7783E-1	4.7248E-1	9.0300E+2
-2.7759E-1	4.7151E-1	8.7800E+2
-2.7724E-1	4.7102E-1	1.3400E+3
-2.7689E-1	4.7248E-1	8.7000E+1
-2.7653E-1	4.7054E-1	-2.8900E+2
-2.7618E-1	4.7078E-1	-6.4700E+2
-2.7594E-1	4.7418E-1	-2.9300E+2
-2.7559E-1	4.7442E-1	-4.7500E+2
-2.7524E-1	4.7734E-1	-7.4500E+2
-2.7488E-1	4.8511E-1	-1.6360E+3
-2.7453E-1	4.9726E-1	-2.7640E+3
-2.7418E-1	5.1815E-1	-3.6070E+3
-2.7394E-1	5.3103E-1	-3.4660E+3
-2.7359E-1	5.4147E-1	-2.7650E+3
-2.7324E-1	5.4803E-1	-4.1600E+2
-2.7288E-1	5.4415E-1	2.0790E+3
-2.7253E-1	5.2714E-1	3.6200E+3
-2.7230E-1	5.0965E-1	3.0750E+3
-2.7194E-1	5.0017E-1	3.0670E+3
-2.7159E-1	4.9070E-1	2.0350E+3
-2.7124E-1	4.8414E-1	1.0930E+3
-2.7088E-1	4.7880E-1	1.0100E+3
-2.7065E-1	4.7467E-1	4.3600E+2
-2.7018E-1	4.7370E-1	4.3400E+2
-2.6994E-1	4.7370E-1	-2.8200E+2
-2.6959E-1	4.7224E-1	-5.1700E+2
-2.6924E-1	4.7588E-1	-1.1360E+3
-2.6900E-1	4.8098E-1	-1.8830E+3
-2.6865E-1	4.8900E-1	-2.5000E+3
-2.6830E-1	5.0066E-1	-2.5690E+3
-2.6794E-1	5.1038E-1	-4.0400E+3
-2.6759E-1	5.2617E-1	-5.0960E+3
-2.6724E-1	5.4876E-1	-5.8950E+3
-2.6700E-1	5.7354E-1	-4.5010E+3
-2.6665E-1	5.8739E-1	-2.6930E+3
-2.6630E-1	5.9346E-1	-7.6300E+2
-2.6594E-1	5.8714E-1	2.3240E+3
-2.6559E-1	5.7427E-1	4.4690E+3
-2.6535E-1	5.4609E-1	4.6880E+3
-2.6500E-1	5.1305E-1	4.4980E+3
-2.6465E-1	4.9532E-1	3.2990E+3
-2.6430E-1	4.8196E-1	2.8320E+3
-2.6394E-1	4.6884E-1	1.7860E+3
-2.6371E-1	4.6179E-1	2.2050E+3
-2.6324E-1	4.5426E-1	7.8500E+2
-2.6300E-1	4.4794E-1	6.6300E+2
-2.6265E-1	4.4430E-1	1.0370E+3
-2.6230E-1	4.4163E-1	-4.8800E+2
-2.6194E-1	4.3944E-1	-5.8000E+1
-2.6159E-1	4.3628E-1	5.3600E+2
-2.6135E-1	4.3313E-1	5.6400E+2
-2.6100E-1	4.2948E-1	-2.0000E+1
-2.6065E-1	4.2827E-1	4.1000E+1
-2.6030E-1	4.2802E-1	2.7000E+1
-2.6006E-1	4.2584E-1	2.1000E+2
-2.5971E-1	4.2317E-1	1.5500E+2
-2.5935E-1	4.2414E-1	2.1500E+2
-2.5900E-1	4.2171E-1	2.5000E+2
-2.5865E-1	4.2219E-1	-5.1000E+1
-2.5841E-1	4.2025E-1	-1.7000E+2
-2.5806E-1	4.2025E-1	1.3500E+2
-2.5771E-1	4.2001E-1	7.4100E+2
-2.5735E-1	4.1904E-1	-2.9200E+2
-2.5700E-1	4.1928E-1	-3.7800E+2
-2.5677E-1	4.1879E-1	-1.8900E+2
-2.5630E-1	4.1733E-1	-5.6500E+2
-2.5606E-1	4.1806E-1	-3.2900E+2
-2.5571E-1	4.1855E-1	-6.5600E+2
-2.5535E-1	4.1928E-1	-2.0800E+2
-2.5500E-1	4.1928E-1	-9.7900E+2
-2.5465E-1	4.2195E-1	-1.3330E+3
-2.5441E-1	4.2438E-1	-1.3660E+3
-2.5406E-1	4.2705E-1	-1.6320E+3
-2.5371E-1	4.3167E-1	-1.5320E+3
-2.5335E-1	4.3555E-1	-1.3920E+3
-2.5300E-1	4.3628E-1	-5.0500E+2
-2.5277E-1	4.3434E-1	3.8100E+2
-2.5241E-1	4.3167E-1	4.0400E+2
-2.5206E-1	4.2900E-1	1.5370E+3
-2.5171E-1	4.2608E-1	1.0280E+3
-2.5147E-1	4.2317E-1	5.8700E+2
-2.5100E-1	4.2219E-1	8.0600E+2
-2.5077E-1	4.2146E-1	4.9800E+2
-2.5041E-1	4.1806E-1	-1.8100E+2
-2.5006E-1	4.1758E-1	5.7000E+1
-2.4982E-1	4.1685E-1	-2.7300E+2
-2.4935E-1	4.1661E-1	5.0000E+1
-2.4912E-1	4.1685E-1	8.8000E+1
-2.4877E-1	4.1904E-1	-1.0940E+3
-2.4841E-1	4.1831E-1	-3.0000E+0
-2.4806E-1	4.1879E-1	-5.3200E+2
-2.4771E-1	4.1976E-1	2.6300E+2
-2.4747E-1	4.1855E-1	-2.2900E+2
-2.4712E-1	4.1976E-1	-3.9600E+2
-2.4677E-1	4.1879E-1	-6.8000E+1
-2.4641E-1	4.1904E-1	-1.5200E+2
-2.4606E-1	4.2001E-1	-9.4600E+2
-2.4582E-1	4.2171E-1	-8.5000E+2
-2.4547E-1	4.2146E-1	-1.8700E+2
-2.4512E-1	4.2122E-1	-6.6500E+2
-2.4477E-1	4.2414E-1	-8.8600E+2
-2.4441E-1	4.2341E-1	-5.1400E+2
-2.4406E-1	4.2535E-1	-6.1900E+2
-2.4382E-1	4.2535E-1	-3.7900E+2
-2.4347E-1	4.2608E-1	-1.1610E+3
-2.4312E-1	4.2608E-1	-8.6300E+2
-2.4276E-1	4.2875E-1	-5.8100E+2
-2.4241E-1	4.2730E-1	-4.5600E+2
