Aux out [V]	Aux in [V]	PDH out [a.u.]
-5.8045E-2	1.0439E+0	-2.0100E+2
-5.7104E-2	1.0439E+0	-5.8500E+2
-5.6045E-2	1.0453E+0	-3.9300E+2
-5.5221E-2	1.0448E+0	-4.0700E+2
-5.4280E-2	1.0446E+0	1.0000E+1
-5.3339E-2	1.0436E+0	-1.1040E+3
-5.2398E-2	1.0434E+0	-7.7200E+2
-5.1339E-2	1.0443E+0	-3.6500E+2
-5.0515E-2	1.0441E+0	-9.0100E+2
-4.9574E-2	1.0431E+0	-3.2800E+2
-4.8633E-2	1.0426E+0	2.2000E+1
-4.7691E-2	1.0446E+0	-5.2100E+2
-4.6633E-2	1.0439E+0	-4.4400E+2
-4.5809E-2	1.0441E+0	-4.1400E+2
-4.4868E-2	1.0443E+0	-4.7800E+2
-4.3927E-2	1.0431E+0	-1.7400E+2
-4.2985E-2	1.0434E+0	-5.3800E+2
-4.2044E-2	1.0422E+0	-8.8000E+2
-4.0985E-2	1.0431E+0	-5.1100E+2
-4.0162E-2	1.0426E+0	-5.9400E+2
-3.9220E-2	1.0417E+0	-5.8300E+2
-3.8279E-2	1.0434E+0	-1.1100E+2
-3.7338E-2	1.0417E+0	-1.2210E+3
-3.6279E-2	1.0429E+0	-9.7900E+2
-3.5455E-2	1.0439E+0	-3.7900E+2
-3.4514E-2	1.0431E+0	5.2000E+1
-3.3573E-2	1.0429E+0	-6.2000E+2
-3.2632E-2	1.0429E+0	-3.3500E+2
-3.1573E-2	1.0414E+0	-6.2700E+2
-3.0749E-2	1.0409E+0	-6.5400E+2
-2.9808E-2	1.0419E+0	-1.2300E+2
-2.8867E-2	1.0424E+0	-5.9800E+2
-2.7925E-2	1.0426E+0	1.5000E+2
-2.6866E-2	1.0431E+0	2.4900E+2
-2.6043E-2	1.0424E+0	-3.9700E+2
-2.5102E-2	1.0426E+0	-6.1500E+2
-2.4160E-2	1.0424E+0	1.5200E+2
-2.3219E-2	1.0429E+0	-1.9300E+2
-2.2160E-2	1.0417E+0	-7.2700E+2
-2.1337E-2	1.0429E+0	-5.5100E+2
-2.0395E-2	1.0409E+0	-7.0700E+2
-1.9454E-2	1.0407E+0	1.2400E+2
-1.8513E-2	1.0419E+0	-2.4900E+2
-1.7572E-2	1.0417E+0	-7.9400E+2
-1.6630E-2	1.0422E+0	-7.0900E+2
-1.5689E-2	1.0419E+0	-1.0670E+3
-1.4748E-2	1.0400E+0	-7.0300E+2
-1.3807E-2	1.0414E+0	1.1600E+2
-1.2865E-2	1.0412E+0	-8.3700E+2
-1.1924E-2	1.0419E+0	4.0000E+0
-1.0983E-2	1.0405E+0	-2.2600E+2
-1.0042E-2	1.0400E+0	-7.8800E+2
-9.1004E-3	1.0395E+0	-2.2000E+2
-8.1591E-3	1.0405E+0	-2.5000E+2
-7.2179E-3	1.0405E+0	-5.9000E+2
-6.2766E-3	1.0402E+0	-6.9200E+2
-5.3354E-3	1.0407E+0	6.5000E+1
