Aux out [V]	Aux in [V]	PDH out [a.u.]
-1.7582E-1	9.9211E-1	-8.1700E+2
-1.7488E-1	9.9357E-1	-4.4000E+2
-1.7394E-1	9.9600E-1	-1.2180E+3
-1.7288E-1	9.9794E-1	-9.0200E+2
-1.7194E-1	1.0001E+0	-7.5400E+2
-1.7099E-1	1.0035E+0	-9.8000E+2
-1.7005E-1	1.0047E+0	-8.4100E+2
-1.6911E-1	1.0067E+0	-8.5000E+2
-1.6805E-1	1.0086E+0	-8.8300E+2
-1.6711E-1	1.0123E+0	-9.0100E+2
-1.6617E-1	1.0135E+0	-1.1240E+3
-1.6511E-1	1.0159E+0	-6.8100E+2
-1.6417E-1	1.0176E+0	-7.0500E+2
-1.6311E-1	1.0186E+0	-4.0400E+2
-1.6217E-1	1.0210E+0	-8.7800E+2
-1.6123E-1	1.0215E+0	-9.2500E+2
-1.6029E-1	1.0222E+0	-7.1500E+2
-1.5935E-1	1.0259E+0	-1.2510E+3
-1.5829E-1	1.0244E+0	-1.1440E+3
-1.5735E-1	1.0273E+0	-9.2500E+2
-1.5641E-1	1.0273E+0	-1.8600E+2
-1.5546E-1	1.0286E+0	-7.3500E+2
-1.5452E-1	1.0298E+0	-5.7200E+2
-1.5358E-1	1.0317E+0	-9.1000E+2
-1.5252E-1	1.0334E+0	-8.3700E+2
-1.5158E-1	1.0339E+0	-5.4700E+2
-1.5064E-1	1.0361E+0	-6.1800E+2
-1.4970E-1	1.0366E+0	-4.5700E+2
-1.4864E-1	1.0380E+0	-1.1240E+3
-1.4758E-1	1.0383E+0	-4.9000E+2
-1.4664E-1	1.0388E+0	-7.8300E+2
-1.4570E-1	1.0380E+0	-1.0030E+3
-1.4476E-1	1.0409E+0	-1.1760E+3
-1.4382E-1	1.0402E+0	-1.9900E+2
-1.4276E-1	1.0407E+0	-9.2400E+2
-1.4182E-1	1.0395E+0	-5.8600E+2
-1.4087E-1	1.0412E+0	-9.7500E+2
-1.3993E-1	1.0407E+0	-2.3900E+2
-1.3899E-1	1.0417E+0	-5.5800E+2
-1.3793E-1	1.0419E+0	-9.0400E+2
-1.3699E-1	1.0424E+0	-3.0800E+2
-1.3605E-1	1.0441E+0	-4.4600E+2
-1.3511E-1	1.0434E+0	-6.4300E+2
-1.3417E-1	1.0446E+0	-1.1260E+3
-1.3311E-1	1.0431E+0	-8.0100E+2
-1.3205E-1	1.0439E+0	-6.7900E+2
-1.3111E-1	1.0439E+0	-4.5500E+2
-1.3017E-1	1.0451E+0	-3.1000E+1
-1.2923E-1	1.0458E+0	2.8300E+2
-1.2829E-1	1.0456E+0	-1.6800E+2
-1.2723E-1	1.0463E+0	-5.4500E+2
-1.2629E-1	1.0443E+0	-7.3300E+2
-1.2534E-1	1.0458E+0	-1.0590E+3
-1.2440E-1	1.0465E+0	-9.5200E+2
-1.2346E-1	1.0448E+0	-1.0700E+3
-1.2240E-1	1.0465E+0	-1.0060E+3
-1.2146E-1	1.0463E+0	-3.9900E+2
-1.2052E-1	1.0448E+0	2.4000E+1
-1.1958E-1	1.0451E+0	-9.7500E+2
-1.1864E-1	1.0458E+0	-9.7400E+2
-1.1758E-1	1.0453E+0	-6.4800E+2
-1.1664E-1	1.0470E+0	-3.7700E+2
-1.1558E-1	1.0473E+0	-2.9000E+2
-1.1464E-1	1.0458E+0	-6.7900E+2
-1.1370E-1	1.0463E+0	-5.2700E+2
-1.1264E-1	1.0465E+0	-5.2400E+2
-1.1170E-1	1.0468E+0	-4.0800E+2
-1.1076E-1	1.0463E+0	-3.5000E+2
-1.0981E-1	1.0473E+0	-5.1000E+2
-1.0887E-1	1.0463E+0	-8.4400E+2
-1.0781E-1	1.0475E+0	-8.8900E+2
-1.0687E-1	1.0453E+0	-9.4000E+2
-1.0593E-1	1.0475E+0	-7.6300E+2
-1.0499E-1	1.0448E+0	-6.1200E+2
-1.0405E-1	1.0475E+0	-2.0600E+2
-1.0311E-1	1.0463E+0	-2.1200E+2
-1.0205E-1	1.0470E+0	-1.0630E+3
-1.0111E-1	1.0463E+0	-2.5900E+2
-1.0017E-1	1.0475E+0	-7.4300E+2
-9.9107E-2	1.0473E+0	9.6000E+1
-9.8166E-2	1.0456E+0	-7.2700E+2
-9.7107E-2	1.0463E+0	-5.0500E+2
-9.6166E-2	1.0458E+0	-5.7100E+2
-9.5224E-2	1.0470E+0	-1.0240E+3
-9.4283E-2	1.0465E+0	-8.4000E+1
-9.3342E-2	1.0448E+0	-2.8400E+2
-9.2283E-2	1.0470E+0	-1.0800E+2
-9.1342E-2	1.0448E+0	-5.4600E+2
-9.0401E-2	1.0465E+0	-2.8700E+2
